Matches, Wins, Losses, Draws
50, 20.00, 0.00, 80.00
100, 21.00, 0.00, 79.00
150, 20.00, 0.00, 80.00
200, 19.00, 0.50, 80.50
250, 20.00, 1.20, 78.80
300, 20.67, 1.33, 78.00
350, 20.57, 1.14, 78.29
400, 20.25, 1.00, 78.75
450, 19.78, 0.89, 79.33
500, 19.60, 0.80, 79.60
550, 19.27, 0.91, 79.82
600, 18.50, 0.83, 80.67
650, 18.31, 0.77, 80.92
700, 19.29, 0.71, 80.00
750, 18.93, 0.67, 80.40
800, 18.63, 0.88, 80.50
850, 18.12, 0.82, 81.06
900, 18.11, 0.89, 81.00
950, 18.53, 0.84, 80.63
1000, 18.60, 0.80, 80.60
