Matches, Wins, Losses, Draws
50, 66.00, 2.00, 32.00
100, 69.00, 1.00, 30.00
150, 64.67, 0.67, 34.67
200, 65.50, 0.50, 34.00
250, 68.00, 0.40, 31.60
300, 68.33, 0.33, 31.33
350, 70.29, 0.29, 29.43
400, 70.25, 0.25, 29.50
450, 70.89, 0.22, 28.89
500, 70.20, 0.20, 29.60
550, 69.82, 0.55, 29.64
600, 70.00, 0.50, 29.50
650, 69.85, 0.46, 29.69
700, 69.57, 0.57, 29.86
750, 69.60, 0.53, 29.87
800, 69.38, 0.50, 30.13
850, 69.41, 0.47, 30.12
900, 69.56, 0.44, 30.00
950, 68.84, 0.42, 30.74
1000, 68.40, 0.40, 31.20
