Matches, Wins, Losses, Draws
50, 30.00, 0.00, 70.00
100, 24.00, 0.00, 76.00
150, 24.67, 0.00, 75.33
200, 26.00, 0.00, 74.00
250, 26.00, 0.00, 74.00
300, 25.67, 0.00, 74.33
350, 25.71, 0.00, 74.29
400, 26.25, 0.00, 73.75
450, 26.00, 0.00, 74.00
500, 25.00, 0.00, 75.00
550, 24.91, 0.00, 75.09
600, 25.00, 0.00, 75.00
650, 24.46, 0.00, 75.54
700, 24.86, 0.00, 75.14
750, 25.47, 0.00, 74.53
800, 24.75, 0.13, 75.13
850, 24.24, 0.12, 75.65
900, 24.89, 0.11, 75.00
950, 24.74, 0.11, 75.16
1000, 24.80, 0.10, 75.10
