Matches, Wins, Losses, Draws
50, 56.00, 4.00, 40.00
100, 53.00, 6.00, 41.00
150, 58.00, 4.00, 38.00
200, 56.50, 3.50, 40.00
250, 56.80, 2.80, 40.40
300, 56.33, 3.00, 40.67
350, 55.14, 2.86, 42.00
400, 55.25, 2.50, 42.25
450, 55.56, 2.22, 42.22
500, 55.80, 2.20, 42.00
550, 56.36, 2.18, 41.45
600, 56.67, 2.50, 40.83
650, 56.00, 2.31, 41.69
700, 55.71, 2.29, 42.00
750, 54.67, 2.27, 43.07
800, 54.75, 2.25, 43.00
850, 55.29, 2.24, 42.47
900, 55.33, 2.22, 42.44
950, 55.58, 2.21, 42.21
1000, 55.50, 2.10, 42.40
