Matches, Wins, Losses, Draws
50, 56.00, 0.00, 44.00
100, 61.00, 0.00, 39.00
150, 58.00, 0.00, 42.00
200, 58.50, 0.00, 41.50
250, 57.20, 0.00, 42.80
300, 54.33, 0.00, 45.67
350, 54.86, 0.29, 44.86
400, 56.00, 0.25, 43.75
450, 55.78, 0.22, 44.00
500, 56.20, 0.40, 43.40
550, 57.09, 0.36, 42.55
600, 56.83, 0.50, 42.67
650, 56.77, 0.46, 42.77
700, 57.00, 0.43, 42.57
750, 57.47, 0.53, 42.00
800, 57.38, 0.50, 42.13
850, 57.88, 0.47, 41.65
900, 57.56, 0.44, 42.00
950, 58.00, 0.63, 41.37
1000, 57.70, 0.80, 41.50
