"Matches"," Player 1"," Player 2"
2000,8.3,8.05
4000,7.92,7.95
6000,8.02,8.1
8000,7.95,8.07
10000,7.76,8.03
12000,7.75,8.15
14000,7.94,7.92
16000,7.93,7.84
18000,7.82,7.81
20000,7.71,7.83
22000,7.64,7.88
24000,7.6,7.87
26000,7.54,7.92
28000,7.62,7.96
30000,7.63,7.93
32000,7.65,7.96
34000,7.63,7.95
36000,7.6,7.93
38000,7.56,7.88
40000,7.55,7.87
42000,7.54,7.89
44000,7.53,7.88
46000,7.54,7.91
48000,7.58,7.88
50000,7.6,7.83
52000,7.6,7.86
54000,7.61,7.83
56000,7.6,7.85
58000,7.6,7.87
60000,7.64,7.84
62000,7.62,7.84
64000,7.63,7.85
66000,7.6,7.84
68000,7.6,7.83
70000,7.58,7.82
72000,7.58,7.83
74000,7.58,7.81
76000,7.6,7.8
78000,7.61,7.81
80000,7.59,7.81
82000,7.61,7.8
84000,7.62,7.77
86000,7.63,7.75
88000,7.64,7.74
90000,7.63,7.76
92000,7.61,7.77
94000,7.63,7.78
96000,7.63,7.77
98000,7.62,7.77
100000,7.62,7.76
,,
,,
"​",,
