Matches, Player 1, Player 2
100, 9.00, 2.00
200, 8.00, 6.00
300, 9.67, 7.67
400, 9.00, 8.25
500, 8.60, 8.00
600, 8.17, 8.33
700, 8.00, 8.43
800, 8.13, 8.38
900, 8.22, 8.00
1000, 8.60, 7.90
1100, 8.55, 7.91
1200, 8.17, 8.33
1300, 8.15, 8.38
1400, 8.07, 8.43
1500, 8.07, 8.27
1600, 8.19, 8.25
1700, 8.24, 8.12
1800, 8.44, 8.11
1900, 8.37, 8.05
2000, 8.30, 8.05
2100, 8.33, 8.00
2200, 8.27, 8.00
2300, 8.26, 8.00
2400, 8.21, 7.92
2500, 8.44, 8.00
2600, 8.46, 8.08
2700, 8.33, 8.07
2800, 8.07, 8.11
2900, 8.03, 8.03
3000, 7.90, 8.07
3100, 7.84, 8.16
3200, 8.00, 8.13
3300, 7.94, 8.18
3400, 7.91, 8.12
3500, 7.91, 8.00
3600, 7.86, 8.03
3700, 7.86, 7.97
3800, 7.97, 7.92
3900, 7.87, 7.97
4000, 7.92, 7.95
4100, 8.00, 7.95
4200, 8.00, 7.95
4300, 8.00, 7.98
4400, 7.95, 8.02
4500, 7.98, 8.00
4600, 7.96, 8.00
4700, 8.00, 8.02
4800, 8.02, 8.00
4900, 8.00, 8.08
5000, 7.94, 8.18
