Player 1, Player 2, Player 3, Player 4
20.00, 22.00, 30.00, 18.00
31.00, 21.00, 24.00, 13.00
28.67, 20.00, 27.33, 12.67
28.00, 20.50, 27.00, 13.00
27.60, 21.60, 27.20, 13.20
28.33, 21.67, 26.67, 13.33
28.57, 21.71, 24.86, 14.86
30.25, 21.75, 23.25, 15.25
29.78, 21.33, 22.89, 15.56
29.00, 20.60, 23.40, 16.80
29.09, 20.91, 23.82, 16.36
28.67, 21.00, 24.17, 17.00
28.62, 22.15, 23.23, 17.38
27.00, 22.57, 23.57, 18.00
26.80, 22.40, 24.13, 18.00
26.38, 22.38, 24.50, 18.00
26.82, 22.35, 24.12, 18.12
27.11, 22.22, 23.89, 17.89
26.42, 22.74, 23.79, 17.89
26.80, 22.50, 24.20, 17.60
