Player 1, Player 2, Player 3, Player 4
30.00, 22.00, 24.00, 20.00
33.00, 25.00, 24.00, 14.00
30.67, 26.00, 23.33, 16.00
32.50, 25.50, 22.00, 17.00
33.60, 25.60, 20.80, 16.80
33.67, 25.67, 20.00, 18.00
34.29, 25.14, 18.29, 20.00
32.75, 26.00, 19.00, 20.00
33.11, 25.56, 18.44, 20.89
33.00, 25.20, 18.60, 21.40
33.09, 25.09, 19.09, 20.91
34.17, 25.00, 18.67, 20.50
34.31, 25.69, 18.77, 19.54
34.14, 25.71, 19.00, 19.29
33.60, 25.87, 19.20, 19.47
33.25, 26.00, 19.00, 19.88
33.06, 26.47, 19.06, 19.65
33.33, 26.33, 19.00, 19.56
33.47, 25.58, 19.68, 19.37
33.90, 25.70, 19.30, 19.20
