Matches, Wins, Losses, Draws
40, 47.50, 52.50, 0.00
80, 43.75, 56.25, 0.00
120, 46.67, 53.33, 0.00
160, 46.25, 53.75, 0.00
200, 48.50, 51.50, 0.00
240, 49.17, 50.83, 0.00
280, 49.29, 50.36, 0.36
320, 49.06, 50.63, 0.31
360, 48.06, 51.39, 0.56
400, 48.25, 51.25, 0.50
440, 48.64, 50.91, 0.45
480, 49.58, 50.00, 0.42
520, 49.62, 49.81, 0.58
560, 49.29, 50.18, 0.54
600, 49.33, 50.00, 0.67
640, 49.38, 50.00, 0.63
680, 48.82, 50.59, 0.59
720, 49.72, 49.72, 0.56
760, 49.34, 50.00, 0.66
800, 48.88, 50.50, 0.63
840, 49.40, 50.00, 0.60
880, 49.32, 50.00, 0.68
920, 49.67, 49.57, 0.76
960, 49.90, 49.38, 0.73
1000, 50.00, 49.20, 0.80
